area,season_year,season,component,raw_value,month_count,grid_count,station_count
China,1981,Autumn,P,63.58173085597912,3,162,426
China,1981,Autumn,T10,19.526620453452963,3,162,438
China,1981,Autumn,T90,5.223933880785839,3,162,438
China,1981,Autumn,W,11.449455458146453,3,165,540
China,1981,Spring,P,91.26136807580099,3,160,418
China,1981,Spring,T10,7.837787787964675,3,163,424
China,1981,Spring,T90,9.288347729576891,3,163,424
China,1981,Spring,W,10.410888589632902,3,165,523
China,1981,Summer,P,92.48626794869841,3,161,414
China,1981,Summer,T10,8.854819719281958,3,162,429
China,1981,Summer,T90,9.455594055878205,3,162,429
China,1981,Summer,W,11.030130897272398,3,165,537
China,1982,Autumn,D,40.53996058892363,3,157,392
China,1982,Autumn,P,30.731032797120918,3,168,600
China,1982,Autumn,T10,10.03814284895805,3,165,444
China,1982,Autumn,T90,7.028055517456863,3,165,444
China,1982,Autumn,W,8.100826827830655,3,168,525
China,1982,Spring,D,31.95941252181635,3,157,392
China,1982,Spring,P,24.411256455575018,3,166,572
China,1982,Spring,T10,10.81502217825596,3,161,432
China,1982,Spring,T90,7.762312725916047,3,161,432
China,1982,Spring,W,10.474974285101016,3,164,483
China,1982,Summer,D,36.24968655537,3,157,392
China,1982,Summer,P,57.51934201756126,3,168,569
China,1982,Summer,T10,12.725272666293916,3,163,430
China,1982,Summer,T90,6.719998173372145,3,163,430
China,1982,Summer,W,10.192774290310332,3,165,494
China,1982,Winter,D,27.63441410724549,3,157,396
China,1982,Winter,T10,9.608191482432185,3,161,440
China,1982,Winter,T90,7.49436995680982,3,161,440
China,1982,Winter,W,8.63139127866564,3,164,481
China,1983,Autumn,D,58.78150551198063,3,163,442
China,1983,Autumn,P,30.469680217985438,3,169,612
China,1983,Autumn,T10,6.241633385339661,3,165,446
China,1983,Autumn,T90,8.121033112490943,3,165,446
China,1983,Autumn,W,7.701298983245827,3,168,498
China,1983,Spring,D,49.96187269097518,3,163,442
China,1983,Spring,P,28.253302292530506,3,169,604
China,1983,Spring,T10,11.563657755947043,3,165,450
China,1983,Spring,T90,6.774334259001563,3,165,450
China,1983,Spring,W,10.938600851200734,3,168,488
China,1983,Summer,D,54.371689101477905,3,163,442
