province,season_year,season,component,raw_value,month_count,grid_count,station_count
Shanghai,1981,Autumn,P,140.70000000000002,3,1,1
Shanghai,1981,Autumn,T10,22.455197132616487,3,1,1
Shanghai,1981,Autumn,T90,1.093189964157706,3,1,1
Shanghai,1981,Autumn,W,9.92831541218638,3,1,1
Shanghai,1981,Spring,P,50.9,3,1,1
Shanghai,1981,Spring,T10,5.39426523297491,3,1,1
Shanghai,1981,Spring,T90,5.913978494623656,3,1,1
Shanghai,1981,Spring,W,2.2222222222222223,3,1,1
Shanghai,1981,Summer,P,116.89999999999999,3,1,1
Shanghai,1981,Summer,T10,7.670250896057348,3,1,1
Shanghai,1981,Summer,T90,5.483870967741936,3,1,1
Shanghai,1981,Summer,W,7.670250896057348,3,1,1
Shanghai,1982,Autumn,D,34.0,3,1,1
Shanghai,1982,Autumn,P,45.26666666666667,3,1,1
Shanghai,1982,Autumn,T10,6.111111111111111,3,1,1
Shanghai,1982,Autumn,T90,4.874551971326166,3,1,1
Shanghai,1982,Autumn,W,5.483870967741936,3,1,1
Shanghai,1982,Spring,D,25.0,3,1,1
Shanghai,1982,Spring,P,92.83333333333333,3,1,1
Shanghai,1982,Spring,T10,7.114695340501792,3,1,1
Shanghai,1982,Spring,T90,6.487455197132616,3,1,1
Shanghai,1982,Spring,W,5.376344086021504,3,1,1
Shanghai,1982,Summer,D,29.5,3,1,1
Shanghai,1982,Summer,P,68.53333333333333,3,1,1
Shanghai,1982,Summer,T10,20.089605734767023,3,1,1
Shanghai,1982,Summer,T90,0.0,3,1,1
Shanghai,1982,Summer,W,7.598566308243728,3,1,1
Shanghai,1982,Winter,D,20.5,3,1,1
Shanghai,1982,Winter,T10,9.907834101382488,3,1,1
Shanghai,1982,Winter,T90,3.2258064516129026,3,1,1
Shanghai,1982,Winter,W,2.150537634408602,3,1,1
Shanghai,1983,Autumn,D,33.666666666666664,3,1,1
Shanghai,1983,Autumn,P,83.03333333333333,3,1,1
Shanghai,1983,Autumn,T10,3.8351254480286734,3,1,1
Shanghai,1983,Autumn,T90,2.7240143369175627,3,1,1
Shanghai,1983,Autumn,W,2.2222222222222223,3,1,1
Shanghai,1983,Spring,D,35.666666666666664,3,1,1
Shanghai,1983,Spring,P,50.833333333333336,3,1,1
Shanghai,1983,Spring,T10,7.670250896057347,3,1,1
Shanghai,1983,Spring,T90,7.670250896057347,3,1,1
Shanghai,1983,Spring,W,4.372759856630824,3,1,1
Shanghai,1983,Summer,D,34.666666666666664,3,1,1
Shanghai,1983,Summer,P,65.10000000000001,3,1,1
Shanghai,1983,Summer,T10,15.28673835125448,3,1,1
Shanghai,1983,Summer,T90,3.7634408602150535,3,1,1
Shanghai,1983,Summer,W,4.408602150537635,3,1,1
Shanghai,1983,Winter,D,36.666666666666664,3,1,1
Shanghai,1983,Winter,P,25.433333333333326,3,1,1
Shanghai,1983,Winter,T10,11.155913978494624,3,1,1
Shanghai,1983,Winter,T90,4.301075268817204,3,1,1
Shanghai,1983,Winter,W,5.491551459293395,3,1,1
Shanghai,1984,Autumn,D,24.666666666666668,3,1,1
Shanghai,1984,Autumn,P,46.56666666666666,3,1,1
Shanghai,1984,Autumn,T10,8.835125448028673,3,1,1
Shanghai,1984,Autumn,T90,9.372759856630823,3,1,1
Shanghai,1984,Autumn,W,1.1111111111111112,3,1,1
Shanghai,1984,Spring,D,29.666666666666668,3,1,1
Shanghai,1984,Spring,P,34.53333333333334,3,1,1
Shanghai,1984,Spring,T10,9.838709677419354,3,1,1
Shanghai,1984,Spring,T90,2.7240143369175627,3,1,1
Shanghai,1984,Spring,W,3.2258064516129026,3,1,1
Shanghai,1984,Summer,D,27.166666666666668,3,1,1
Shanghai,1984,Summer,P,57.666666666666664,3,1,1
Shanghai,1984,Summer,T10,4.910394265232974,3,1,1
Shanghai,1984,Summer,T90,3.261648745519713,3,1,1
Shanghai,1984,Summer,W,5.448028673835125,3,1,1
Shanghai,1984,Winter,D,32.166666666666664,3,1,1
Shanghai,1984,Winter,P,20.96666666666667,3,1,1
Shanghai,1984,Winter,T10,19.373377827215425,3,1,1
Shanghai,1984,Winter,T90,2.150537634408602,3,1,1
Shanghai,1984,Winter,W,2.150537634408602,3,1,1
Shanghai,1985,Autumn,D,14.666666666666666,3,1,1
Shanghai,1985,Autumn,P,131.13333333333335,3,1,1
Shanghai,1985,Autumn,T10,8.709677419354838,3,1,1
Shanghai,1985,Autumn,T90,10.376344086021504,3,1,1
Shanghai,1985,Autumn,W,1.075268817204301,3,1,1
Shanghai,1985,Spring,D,19.666666666666668,3,1,1
Shanghai,1985,Spring,P,51.166666666666664,3,1,1
Shanghai,1985,Spring,T10,12.38351254480287,3,1,1
Shanghai,1985,Spring,T90,4.336917562724014,3,1,1
Shanghai,1985,Spring,W,5.483870967741936,3,1,1
Shanghai,1985,Summer,D,17.166666666666668,3,1,1
Shanghai,1985,Summer,P,118.76666666666667,3,1,1
